#enska	islenska	flokkur	id
Priests/Ministers	Prestar	Kirkja og kristni	1000021
placename	Örnefnasögur	Staðir og örnefni	1000002
Dreams	Draumar	Þjóðtrú og fyrirboðar	1000007
elves	Álfar og huldufólk	Huldufólk	1000005
ghosts	Draugar	Draugar og afturgöngur	1000100
accidents	Slys	Ævi og fjölskylda	1000080
domestic animals	Húsdýr	Náttúra og dýr	1000024
Named ghosts	Nafnkenndir draugar	Draugar og afturgöngur	1000011
spirits and visions	Andar og sýnir	Draugar og afturgöngur	1000059
enchantments	Álög	Galdur og kraftaskáld	1000031
journeys	Ferðalög	Atvinna og verkmenning	1000070
Magicians	Galdramenn	Galdur og kraftaskáld	1000115
going to sea	Sjósókn	Sjósókn og sjávarfang	1000043
hauntings	Reimleikar	Draugar og afturgöngur	1000058
Magic	Galdur	Galdur og kraftaskáld	1000165
fetches	Fylgjur	Þjóðtrú og fyrirboðar	1000013
omens	Fyrirboðar	Þjóðtrú og fyrirboðar	1000113
elven settlements	Álfabyggðir	Huldufólk	1000006
humour	Gamansögur	Kveðskapur og sagnalist	1000020
belief in elves	Álfatrú	Huldufólk	1000008
weather	Veður	Náttúra og dýr	1000906
boats and ships	Bátar og skip	Sjósókn og sjávarfang	1000188
nicknames	Viðurnefni	Fólk og mannlýsingar	1000060
Horses	Hestar	Náttúra og dýr	1000022
Illnesses and diseases	Sjúkdómar	Ævi og fjölskylda	443
Food and drink	Matur og drykkur	Heimili og daglegt líf	466
churches	Kirkjur	Kirkja og kristni	1000171
clairvoyance	Skyggni	Þjóðtrú og fyrirboðar	1000164
Æviatriði	Æviatriði	Ævi og fjölskylda	1000017
clothing	Klæðnaður	Heimili og daglegt líf	1000167
trolls	Tröll	Tröll og forynjur	1000152
fated	Feigð	Þjóðtrú og fyrirboðar	1000132
people from ancient times	Fornmenn	Fólk og mannlýsingar	1000003
supersticion	Hjátrú	Þjóðtrú og fyrirboðar	1000095
outlaws	Útilegumenn	Fólk og mannlýsingar	1000067
love affairs	Ástamál	Ævi og fjölskylda	1000196
local champions	Aflraunamenn	Fólk og mannlýsingar	1000025
crimes	Afbrot	Samfélag og stjórnsýsla	1000189
poems	Kvæði	Kveðskapur og sagnalist	23
outsiders	Utangarðsfólk	Fólk og mannlýsingar	1000077
attacking spirits (sent by others)	Sendingar	Galdur og kraftaskáld	1000014
poetry	Kveðskapur	Kveðskapur og sagnalist	1000018
authorities	Yfirvöld	Samfélag og stjórnsýsla	1000156
fishing	Fiskveiðar	Sjósókn og sjávarfang	1000030
Farming ways	Búskaparhættir	Búskapur og sveitastörf	22
ghost belief	Draugatrú	Draugar og afturgöngur	1000147
the newly dead	Nýlátnir	Draugar og afturgöngur	1000122
wonders	Undur og stórmerki	Þjóðtrú og fyrirboðar	1000131
lakes	Vötn	Staðir og örnefni	1000111
religion	Trúarbrögð	Kirkja og kristni	21
markets and commerce	Verslun og kaupskapur	Atvinna og verkmenning	1000175
rivers	Ár og vatnsföll	Staðir og örnefni	1000004
farms	Bæir	Búskapur og sveitastörf	1000128
burial	Greftrun	Kirkja og kristni	1000227
personal hauntings	Ásóknir drauga	Draugar og afturgöngur	1000099
housing and buildings	Híbýli og byggingar	Heimili og daglegt líf	1000047
retorts	Svör og hnyttni	Kveðskapur og sagnalist	1000153
grave	Leiði	Kirkja og kristni	1000009
Enchanted places (not to be disturbed)	Álagablettir	Þjóðtrú og fyrirboðar	1000581
stones	Steinar	Staðir og örnefni	1000180
christmas	Jól	Hátíðir og tímatal	1000184
poets	Skáld	Kveðskapur og sagnalist	1000071
prophecies	Spádómar	Þjóðtrú og fyrirboðar	1000136
places and local ways	Staðhættir og siðir	Staðir og örnefni	1000137
smiths	Járnsmiðir	Atvinna og verkmenning	1000041
occasional verse	Tækifæriskvæði	Kveðskapur og sagnalist	61
graveyards	Kirkjugarðar	Kirkja og kristni	1000225
sounds heard	Dularfull hljóð	Þjóðtrú og fyrirboðar	1000098
Medical cures	Lækningar	Ævi og fjölskylda	1000139
animals as evil spirits	Illir andar í dýrslíki	Draugar og afturgöngur	1000123
Elf-revenge	Álfahefnd	Huldufólk	408
Hagyrðingar	Hagyrðingar	Kveðskapur og sagnalist	1000027
stories told aloud	Sagnaflutningur	Kveðskapur og sagnalist	1000023
Hidden treasures	Fólgið fé	Þjóðtrú og fyrirboðar	1000108
grave-mounds	Haugar og dysjar	Draugar og afturgöngur	1000114
caves	Hellar	Staðir og örnefni	1000133
fish	Fiskar	Sjósókn og sjávarfang	1000178
wild animals	Villt dýr	Náttúra og dýr	1000074
harvesting	Heyskapur	Búskapur og sveitastörf	8
water horses	Nykrar	Tröll og forynjur	1000073
boat foremen	Formenn	Sjósókn og sjávarfang	1000062
sea monsters	Sæskrímsli	Tröll og forynjur	1000161
advice against ghosts	Ráð gegn draugum	Draugar og afturgöngur	1000135
lake monster	Vatnaskrímsli	Tröll og forynjur	1000081
birds	Fuglar	Náttúra og dýr	1000094
Deaths and killings	Dauðsföll og víg	Ævi og fjölskylda	159
family lore	Ættarsögur	Ævi og fjölskylda	1000426
books and manuscripts	Bækur og handrit	Kveðskapur og sagnalist	1000072
female work	Kvennastörf	Atvinna og verkmenning	1000207
births	Barnsfæðingar	Ævi og fjölskylda	1000270
curses	Bölbænir	Galdur og kraftaskáld	1000029
Búskaparhættir og heimilishald	Búskaparhættir og heimilishald	Búskapur og sveitastörf	1000061
employment	Vinnumennska	Atvinna og verkmenning	127
Devil	Djöfullinn	Kirkja og kristni	517
human names	Mannanöfn	Fólk og mannlýsingar	1000143
thieves and thievery	Þjófar og þjófnaður	Samfélag og stjórnsýsla	161
disabilities	Fötlun	Fólk og mannlýsingar	12
waking the dead	Líkvökur	Kirkja og kristni	1000166
tools	Verkfæri	Atvinna og verkmenning	1000269
